,Rating,Location,Rating_Submit_Dt
700,5,"Ashland, MA",1 year ago
701,3,Atlanta,1 year ago
702,5,"Thomasville, NC",1 year ago
703,5,"Farmingdale, NY",1 year ago
704,5,"Campbell, CA",1 year ago
705,3,"Lapeer, MI",1 year ago
706,5,"Gainesville, FL",1 year ago
707,5,"Yreka, CA",1 year ago
708,4,"Youngstown, FL",1 year ago
709,5,"Irving , TX",1 year ago
710,4,"Wyandotte , MI",1 year ago
711,5,Boston,1 year ago
712,5,"Toledo, OH",1 year ago
713,5,"Newport, RI",1 year ago
714,5,"West Chester, PA",1 year ago
715,5,United States,1 year ago
716,5,"Mission, KS",1 year ago
717,3,"Pensacola, FL",1 year ago
718,5,"Ontario, CA",1 year ago
719,5,"Los Angeles , CA",1 year ago
720,5,"bradenton, FL",1 year ago
721,5,Chicago,1 year ago
722,4,"Dearborn Hts, MI",1 year ago
723,5,"Gresham, OR",1 year ago
724,5,"Dyersburg, TN",1 year ago
725,4,"Rockville, MD",1 year ago
726,3,"Lake City, PA",1 year ago
727,5,"Cathlamet, WA",1 year ago
728,5,United States,1 year ago
729,5,"Fort Knox, KY",1 year ago
730,5,henderson,1 year ago
731,5,"Arlington, VA",1 year ago
732,5,"Cumming, GA",1 year ago
733,5,"Ossining, NY",1 year ago
734,5,"Washington, NJ",1 year ago
735,5,"Westminster, MD",1 year ago
736,5,"Tampa, FL",1 year ago
737,4,United States,1 year ago
738,2,Honolulu,1 year ago
739,5,"New York, NY",1 year ago
740,5,"Wynnewood, PA",1 year ago
741,5,"Sacramento, CA",1 year ago
742,5,"Henrietta, NY",1 year ago
743,3,"Fontana, CA",1 year ago
744,5,"Willingboro, NJ",1 year ago
745,3,United States,1 year ago
746,3,"Sylvania, OH",1 year ago
747,5,dublin,1 year ago
748,5,"Muskegon, MI",1 year ago
749,5,Raleigh,1 year ago
750,5,"White Rock, NM",1 year ago
751,5,United States,1 year ago
752,5,"Woodland Hls, CA",1 year ago
753,5,"Enfield , CT",1 year ago
754,5,"New York, NY",1 year ago
755,4,"Fleetwood, PA",1 year ago
756,5,"Clayton, CA",1 year ago
757,5,"Missouri City, TX",1 year ago
758,4,"Jefferson, ME",1 year ago
759,5,Puerto Rico,1 year ago
760,5,"Moseley, VA",1 year ago
761,5,"Henrico, VA",1 year ago
762,5,"Pittsburgh, PA",1 year ago
763,5,Orlando,1 year ago
764,5,"Seven Hills, OH",1 year ago
765,3,"Klamath Falls, OR",1 year ago
766,4,"New York, NY",1 year ago
767,5,"Denver, CO",1 year ago
768,5,"Camarillo , CA",1 year ago
769,5,"MONTEREY, CA",1 year ago
770,5,"Moseley, VA",1 year ago
771,5,"Henrico, VA",1 year ago
772,5,"Pittsburgh, PA",1 year ago
773,5,Orlando,1 year ago
774,5,"Seven Hills, OH",1 year ago
775,3,"Klamath Falls, OR",1 year ago
776,4,"New York, NY",1 year ago
777,5,"Denver, CO",1 year ago
778,5,"Camarillo , CA",1 year ago
779,5,"MONTEREY, CA",1 year ago
780,5,"New York, NY",1 year ago
781,2,"Boynton Beach, FL",1 year ago
782,5,"Manassas , VA",1 year ago
783,5,"Austin, TX",1 year ago
784,5,"Miami, FL",1 year ago
785,4,"Anaheim, CA",1 year ago
786,5,"Lowell, MA",1 year ago
787,5,"Canton, GA",1 year ago
788,5,willowgrove,1 year ago
789,5,New York,1 year ago
790,3,"Concord, NC",1 year ago
791,5,United States,1 year ago
792,5,"Avon, NY",1 year ago
793,4,Norwell,1 year ago
794,5,"Hanover, MN",2 years ago
795,5,"Orem, UT",2 years ago
796,5,"Anna, TX",2 years ago
797,5,"Carmel, IN",2 years ago
798,4,"San Diego, CA",2 years ago
799,5,"Bronx, NY",2 years ago
800,3,"Cleburne , TX",2 years ago
801,5,"Nashville, TN",2 years ago
802,5,"Bothell, WA",2 years ago
803,5,"Georgetown, TX",2 years ago
804,5,"Ann Arbor, MI",2 years ago
805,5,"Philadelphia, PA",2 years ago
806,5,United States,2 years ago
807,1,California,2 years ago
808,5,Los Angeles,2 years ago
809,4,"Kansas City, MO",2 years ago
810,5,Ventura,2 years ago
811,5,"Vanceboro, NC",2 years ago
812,5,Enfield,2 years ago
813,4,davenport,2 years ago
814,5,United States,2 years ago
815,4,United States,2 years ago
816,5,Roswell,2 years ago
817,5,United States,2 years ago
818,5,Los Angeles,2 years ago
819,3,Cherokee Iowa,2 years ago
820,3,"Crystal , MN",2 years ago
821,5,Stratford,2 years ago
822,5,Mount Pleasant,2 years ago
823,3,United States,2 years ago
824,4,"centerville, MA",2 years ago
825,5,"Houston, TX",2 years ago
826,5,"Bronx, NY",2 years ago
827,1,United States,2 years ago
828,5,United States,2 years ago
829,5,"Owls Head, ME",2 years ago
830,5,"Kenosha, WI",2 years ago
831,5,"Augusta , GA",2 years ago
832,5,"Fairfield, CA",2 years ago
833,5,"Millinocket, ME",2 years ago
834,3,Atlanta,2 years ago
835,5,Springfield,2 years ago
836,5,Gatineau,2 years ago
837,3,"Tallahassee, Fl",2 years ago
838,5,"Royse city, TX",2 years ago
839,4,"Los Angeles, CA",2 years ago
840,5,Newport Coast,2 years ago
841,5,"Union, NJ",2 years ago
842,5,"Vancouver, BC",2 years ago
843,5,United States,2 years ago
844,4,"New York, New York",2 years ago
845,5,"Yellowknife, NT",2 years ago
846,5,11 Winfield St. Rear,2 years ago
847,5,"New London, CT",2 years ago
848,5,411 Cardinal,2 years ago
849,5,"Chicago, IL",2 years ago
850,5,"Brooklyn, NY",2 years ago
851,4,"Rego park, NY",2 years ago
852,5,"Jackson Hts, NY",2 years ago
853,5,United States,2 years ago
854,5,West Lafayette,2 years ago
855,5,"Chula Vista, CA",2 years ago
856,5,"Palmdale, CA",2 years ago
857,5,"Lone Pine, CA",2 years ago
858,5,"Denver,  Colorado",2 years ago
859,4,Poolesville,2 years ago
860,5,"Brooklyn, NY",2 years ago
861,4,"Rego park, NY",2 years ago
862,5,"Jackson Hts, NY",2 years ago
863,5,United States,2 years ago
864,5,West Lafayette,2 years ago
865,5,"Chula Vista, CA",2 years ago
866,5,"Palmdale, CA",2 years ago
867,5,"Lone Pine, CA",2 years ago
868,5,"Denver,  Colorado",2 years ago
869,4,Poolesville,2 years ago
870,5,Canada,2 years ago
871,1,Chicago,2 years ago
872,5,"Philadelphia, PA",2 years ago
873,5,"Fernley, NV",2 years ago
874,5,orange,2 years ago
875,4,"Thorold, ON",2 years ago
876,5,United States,2 years ago
877,3,"Manhattan, NY",2 years ago
878,4,United States,2 years ago
879,4,"Jersey city, NJ",2 years ago
880,5,"Phoenix, AZ",2 years ago
881,1,Birmingham alabama,2 years ago
882,5,Stl,2 years ago
883,5,"Toronto, ON",2 years ago
884,5,"Cerritos, CA",2 years ago
885,5,Louisville,2 years ago
886,5,Los Angeles,2 years ago
887,5,"Thomasville, AL",2 years ago
888,4,"Statesville, NC",2 years ago
889,5,west new york,2 years ago
890,5,"Staten Island, NY",2 years ago
891,5,"Brandywine , MD",2 years ago
892,5,Korea,2 years ago
893,5,"Chula Vista , CA",2 years ago
894,3,"Jacksonville, FL",2 years ago
895,5,"Los Angeles, CA",2 years ago
896,5,Los Angeles,2 years ago
897,5,"Memphis, TN",2 years ago
898,5,Indiana,2 years ago
899,5,"Trumbull, CT",2 years ago
900,5,"Branford, CT",2 years ago
901,5,"Chicago, IL",2 years ago
902,3,boston,2 years ago
903,5,"Los Angeles, CA",2 years ago
904,5,madison,2 years ago
905,5,Providence,2 years ago
906,5,Santa Cruz,2 years ago
907,3,"Bronx, NY",2 years ago
908,5,"Forest Hills, NY",2 years ago
909,4,United States,2 years ago
910,4,"Evansville, IN",2 years ago
911,5,Marysville,2 years ago
912,5,Canada,2 years ago
913,4,"Leduc County, AB",2 years ago
914,5,"Birmingham, AL",2 years ago
915,4,"West Vancouver, BC",2 years ago
916,4,Winnipeg,2 years ago
917,5,"Etna, NY",2 years ago
918,5,"Bayside, WI",2 years ago
919,5,Irvine,2 years ago
920,5,Ontario,2 years ago
921,5,"Panama City, Panama",2 years ago
922,5,"Sterling Heights, MI",2 years ago
923,5,"Sayreville, NJ",2 years ago
924,5,UK,2 years ago
925,5,United States,2 years ago
926,5,"Oakville, ON",2 years ago
927,3,philadelphia,2 years ago
928,2,"Las Vegas , NV",2 years ago
929,5,United States,2 years ago
930,5,North Riverside,2 years ago
931,5,Cleveland,2 years ago
932,4,"Benton, TN",2 years ago
933,5,"Santa Ana, CA",2 years ago
934,5,"Prince George, VA",2 years ago
935,5,Boston,2 years ago
936,4,United States,2 years ago
937,5,Metro Detroit,2 years ago
938,4,St. John's,2 years ago
939,5,ronkonkoma,2 years ago
940,4,Auburn,2 years ago
941,5,"Toronto , ON",2 years ago
942,1,"Jackson, NJ",2 years ago
943,5,"MISSOURI CITY, TX",2 years ago
944,4,United States,2 years ago
945,2,"Naperville, IL",2 years ago
946,3,"Yonkers , NY",2 years ago
947,3,"Victoria, BC",2 years ago
948,5,"Chandler, AZ",2 years ago
949,2,"Brantford , ON",2 years ago
950,5,"East St Paul, MB",2 years ago
951,5,"Hamilton, NJ",2 years ago
952,5,United States,2 years ago
953,5,Jersey City,2 years ago
954,3,United States,2 years ago
955,5,langley,2 years ago
956,5,Canada,2 years ago
957,1,Va,2 years ago
958,5,Canada,2 years ago
959,5,Ottawa,2 years ago
960,5,"Redmond , WA",2 years ago
961,4,Canada,2 years ago
962,5,"Blacksburg, VA",2 years ago
963,5,Los Angeles,2 years ago
964,5,peachtree corners,2 years ago
965,5,United States,2 years ago
966,5,North Carolina,2 years ago
967,4,United States,2 years ago
968,2,"Oceanside, CA",2 years ago
969,5,"Boston, MA",2 years ago
970,4,Lutz,2 years ago
971,5,Illinois,2 years ago
972,5,St. Catharines,2 years ago
973,1,"Dothan, Alabama",2 years ago
974,5,Philadelphia,2 years ago
975,5,elburn,2 years ago
976,5,Mammoth Spring,2 years ago
977,5,"Sandy, UT",2 years ago
978,5,"Marrero, LA",2 years ago
979,5,Grand Rapids,2 years ago
980,5,Philly,2 years ago
981,3,United States,2 years ago
982,5,New York,2 years ago
983,5,"Warren, NJ",2 years ago
984,5,Kuwait,2 years ago
985,5,jarrell,2 years ago
986,5,Boston,2 years ago
987,3,Birmingham,2 years ago
988,5,Los Angeles,2 years ago
989,4,Gypsum,2 years ago
990,5,Philly,2 years ago
991,3,United States,2 years ago
992,5,New York,2 years ago
993,5,"Warren, NJ",2 years ago
994,5,Kuwait,2 years ago
995,5,jarrell,2 years ago
996,5,Boston,2 years ago
997,3,Birmingham,2 years ago
998,5,Los Angeles,2 years ago
999,4,Gypsum,2 years ago
1000,5,"Anderson, SC",2 years ago
1001,4,United States,2 years ago
1002,5,"Charlotte, NC",2 years ago
1003,4,White Bear Lake,2 years ago
1004,5,"Albuquerque, NM",2 years ago
1005,5,"Red Deer, AB",2 years ago
1006,5,United States,2 years ago
1007,5,"Stillwater, MN",2 years ago
1008,5,Brampton,2 years ago
1009,5,stockton,2 years ago
1010,5,United States,2 years ago
1011,5,"North Vancouver , BC",2 years ago
1012,5,United States,2 years ago
1013,5,United States,2 years ago
1014,4,United States,2 years ago
1015,5,"Halifax, NS",2 years ago
1016,5,Pickering,2 years ago
1017,3,Montevallo,2 years ago
1018,5,Los Angeles,2 years ago
1019,5,"Kalamazoo, MI",2 years ago
1020,5,orlando,2 years ago
1021,5,"Fredericton, NB",2 years ago
1022,5,United States,2 years ago
1023,5,"London , ON",2 years ago
1024,5,"Boise, Idaho",2 years ago
1025,5,"Montreal, QC",2 years ago
1026,5,"worcester , MA",2 years ago
1027,5,"Los Angeles , CA",2 years ago
1028,5,"Fairfax, VA",2 years ago
1029,5,United States,2 years ago
1030,5,United States,2 years ago
1031,4,Ottawa,2 years ago
1032,5,Staten Island,2 years ago
1033,5,"orange, CA",2 years ago
1034,5,"Janesville, WI",2 years ago
1035,5,"Saratoga Spgs, NY",2 years ago
1036,5,Canada,2 years ago
1037,5,"Ft Washington, MD",2 years ago
1038,5,United States,2 years ago
1039,5,"Riverview, FL",2 years ago
1040,4,Maryland,2 years ago
1041,5,"Ripley, MS",2 years ago
1042,1,"Houston, TX",2 years ago
1043,5,"Atlanta, GA",2 years ago
1044,2,"Cheektowaga, NY",2 years ago
1045,5,Southaven,2 years ago
1046,3,MN,2 years ago
1047,4,Canada,2 years ago
1048,5,"Washington, DC",2 years ago
1049,5,"Lansing, MI",2 years ago
1050,4,Maryland,2 years ago
1051,5,"Ripley, MS",2 years ago
1052,1,"Houston, TX",2 years ago
1053,5,"Atlanta, GA",2 years ago
1054,2,"Cheektowaga, NY",2 years ago
1055,5,Southaven,2 years ago
1056,3,MN,2 years ago
1057,4,Canada,2 years ago
1058,5,"Washington, DC",2 years ago
1059,5,"Lansing, MI",2 years ago
1060,5,Waukesha,2 years ago
1061,5,"Corvallis , OR",2 years ago
1062,5,United States,2 years ago
1063,5,Morgantown,2 years ago
1064,5,"Marlboro, NJ",2 years ago
1065,5,Los Angeles,2 years ago
1066,4,"Edmonton, Alberta",2 years ago
1067,5,"Ottawa, ON",2 years ago
1068,5,"Kansas City, MO",2 years ago
1069,3,"Govan, SK",2 years ago
1070,5,"Niskayuna, NY",2 years ago
1071,5,toledo,2 years ago
1072,4,"Miami, FL",2 years ago
1073,5,"Toronto, ON",2 years ago
1074,5,"Mocksville, NC",2 years ago
1075,4,United States,2 years ago
1076,4,spruce pine,2 years ago
1077,5,"Norman, OK",2 years ago
1078,5,"Tuscaloosa, AL",2 years ago
1079,5,somerville,2 years ago
1080,5,"Niskayuna, NY",2 years ago
1081,5,toledo,2 years ago
1082,4,"Miami, FL",2 years ago
1083,5,"Toronto, ON",2 years ago
1084,5,"Mocksville, NC",2 years ago
1085,4,United States,2 years ago
1086,4,spruce pine,2 years ago
1087,5,"Norman, OK",2 years ago
1088,5,"Tuscaloosa, AL",2 years ago
1089,5,somerville,2 years ago
1090,4,"Aldan, PA",2 years ago
1091,4,"Hayward , CA",2 years ago
1092,4,"Modesto, CA",2 years ago
1093,5,"Chicago, IL",2 years ago
1094,5,Toronto,2 years ago
1095,5,"Clifton, NJ",2 years ago
1096,5,"Rocklin, CA",2 years ago
1097,5,"Warrenville, IL",2 years ago
1098,5,Michigan,2 years ago
1099,3,Fresno CA,2 years ago
1100,4,United States,2 years ago
1101,5,United States,2 years ago
1102,4,"Justin, TX",2 years ago
1103,5,"ON, ON",2 years ago
1104,5,"Palmyra, PA",2 years ago
1105,5,"North York, ON",2 years ago
1106,5,Pittston,2 years ago
1107,5,"Hemet, CA",2 years ago
1108,5,"Byron Center , MI",2 years ago
1109,5,Tucson,2 years ago
1110,4,United States,2 years ago
1111,5,United States,2 years ago
1112,4,"Justin, TX",2 years ago
1113,5,"ON, ON",2 years ago
1114,5,"Palmyra, PA",2 years ago
1115,5,"North York, ON",2 years ago
1116,5,Pittston,2 years ago
1117,5,"Hemet, CA",2 years ago
1118,5,"Byron Center , MI",2 years ago
1119,5,Tucson,2 years ago
1120,5,United States,2 years ago
1121,5,boca raton,2 years ago
1122,2,Toronto,2 years ago
1123,5,"Columbus, OH",2 years ago
1124,5,"Riverside, CA",2 years ago
1125,5,Canada,2 years ago
1126,5,"Wyoming , MI",2 years ago
1127,5,"Akron, Ohio",2 years ago
1128,2,Doddridge,2 years ago
1129,5,portland,2 years ago
1130,5,Calgary,2 years ago
1131,5,"Edmonton, AB",2 years ago
1132,5,"New York, NY",2 years ago
1133,5,"Pt Charlotte, FL",2 years ago
1134,5,"Miami Shores, FL",2 years ago
1135,5,"Colorado Spgs, CO",2 years ago
1136,5,"Toronto, ON",2 years ago
1137,5,"Middleton, WI",2 years ago
1138,3,"Bloomfld Hls, MI",2 years ago
1139,4,"Los Angeles, CA",2 years ago
1140,4,"Colorado Spgs, CO",2 years ago
1141,4,"Dublin , OH",2 years ago
1142,5,"Howell, MI",2 years ago
1143,5,"Glen Burnie, MD",2 years ago
1144,5,"Toronto, ON",2 years ago
1145,5,"Atlanta, GA",2 years ago
1146,5,"New rochelle, NY",2 years ago
1147,4,"Colonia , NJ",2 years ago
1148,5,"Capo Beach, CA",2 years ago
1149,5,"Boise, ID",2 years ago
1150,4,"Colorado Spgs, CO",2 years ago
1151,4,"Dublin , OH",2 years ago
1152,5,"Howell, MI",2 years ago
1153,5,"Glen Burnie, MD",2 years ago
1154,5,"Toronto, ON",2 years ago
1155,5,"Atlanta, GA",2 years ago
1156,5,"New rochelle, NY",2 years ago
1157,4,"Colonia , NJ",2 years ago
1158,5,"Capo Beach, CA",2 years ago
1159,5,"Boise, ID",2 years ago
1160,4,"La Mirada, Ca",2 years ago
1161,5,"Staten Island, NY",2 years ago
1162,5,"Linwood , NJ",2 years ago
1163,5,"Oshawa, ON",2 years ago
1164,5,hannawa falls,2 years ago
1165,5,California MD,2 years ago
1166,5,"Alexandria, VA",2 years ago
1167,5,United States,2 years ago
1168,5,"Asheville, NC",2 years ago
1169,5,Canada,2 years ago
1170,5,"Roseville, MI",2 years ago
1171,5,"Hazel Park , MI",2 years ago
1172,2,"Richmond Hill, ON",2 years ago
1173,5,bell gardens,2 years ago
1174,4,"Manassas, VA",2 years ago
1175,5,"San francisco , CA",2 years ago
1176,5,"Brooklyn, NY",2 years ago
1177,5,"Laval, QC",2 years ago
1178,4,"Sherwood, OR",2 years ago
1179,5,"Burlington, WI",2 years ago
1180,5,"Roseville, MI",2 years ago
1181,5,"Hazel Park , MI",2 years ago
1182,2,"Richmond Hill, ON",2 years ago
1183,5,bell gardens,2 years ago
1184,4,"Manassas, VA",2 years ago
1185,5,"San francisco , CA",2 years ago
1186,5,"Brooklyn, NY",2 years ago
1187,5,"Laval, QC",2 years ago
1188,4,"Sherwood, OR",2 years ago
1189,5,"Burlington, WI",2 years ago
1190,5,"Metairie , LA",2 years ago
1191,5,New Jersey,2 years ago
1192,5,"Thornton , CO",2 years ago
1193,1,"Salem, OR",2 years ago
1194,5,"Pawtucket, RI",2 years ago
1195,4,atlanta,2 years ago
1196,5,"Savage, MN",2 years ago
1197,5,"Palatine , IL",2 years ago
1198,5,"Manalapan, NJ",2 years ago
1199,5,"Coon Rapids, MN",2 years ago
1200,5,"Abbotsford, BC",2 years ago
1201,4,"Charlotte, NC",2 years ago
1202,5,"Hamilton, NJ",2 years ago
1203,5,"Edmonton, AB",2 years ago
1204,4,United States,2 years ago
1205,5,"Albuquerque, NM",2 years ago
1206,3,"Milwaukee , WI",2 years ago
1207,5,"Etobicoke, ON",2 years ago
1208,5,"Marana, AZ",2 years ago
1209,1,Canada,2 years ago
1210,5,"Fife lake , MI",2 years ago
1211,5,"Cottage Grove , MN",2 years ago
1212,3,"Los Angeles, CA",2 years ago
1213,5,Washington D.C.,2 years ago
1214,3,"Gallatin, TN",2 years ago
1215,5,"Forest Hills, NY",2 years ago
1216,4,Woodlawn,2 years ago
1217,3,"Ashburn, VA",2 years ago
1218,5,"Grand Jct, CO",2 years ago
1219,5,New Bern,2 years ago
1220,5,Orlando,2 years ago
1221,5,"Sterling Heights, MI",2 years ago
1222,5,"Xenia , OH",2 years ago
1223,5,"N Providence, RI",2 years ago
1224,4,"Midhurst, Ontario",2 years ago
1225,5,"Oshawa , ON",2 years ago
1226,3,"London, ON",2 years ago
1227,5,"Greenville, SC",2 years ago
1228,4,"Toronto , ON",2 years ago
1229,5,"Charlotte, NC",2 years ago
1230,5,"Regina, SK",2 years ago
1231,4,"Toronto, ON",2 years ago
1232,4,"Mishawaka , IN",2 years ago
1233,4,United States,2 years ago
1234,4,"Rusagonis, NB",2 years ago
1235,4,"Oklahoma City, OK",2 years ago
1236,5,"Roslindale , MA",2 years ago
1237,5,"Pinckney, MI",2 years ago
1238,5,"Gilbert, AZ",2 years ago
1239,3,"Pitt Meadows , BC",2 years ago
1240,5,"Regina, SK",2 years ago
1241,4,"Toronto, ON",2 years ago
1242,4,"Mishawaka , IN",2 years ago
1243,4,United States,2 years ago
1244,4,"Rusagonis, NB",2 years ago
1245,4,"Oklahoma City, OK",2 years ago
1246,5,"Roslindale , MA",2 years ago
1247,5,"Pinckney, MI",2 years ago
1248,5,"Gilbert, AZ",2 years ago
1249,3,"Pitt Meadows , BC",2 years ago
1250,5,Quincy,2 years ago
1251,5,montclair,2 years ago
1252,5,San Jose,2 years ago
1253,5,"Edmonton , AB",2 years ago
1254,5,"Azle, TX",2 years ago
1255,5,Springfield MO,2 years ago
1256,5,"Rhinelander, WI",2 years ago
1257,5,"Monroe, WA",2 years ago
1258,5,"Montreal, QC",2 years ago
1259,5,United States,2 years ago
1260,5,"Hoboken, NJ",2 years ago
1261,5,"Mesa, AZ",2 years ago
1262,4,"Saskatoon,SK",2 years ago
1263,4,New York,2 years ago
1264,5,"Canton, GA",2 years ago
1265,5,robbinsville,2 years ago
1266,5,"Winchester, VA",2 years ago
1267,3,"Dawson Creek, BC",2 years ago
1268,5,"Hamilton , ON",2 years ago
1269,5,richmond,2 years ago
1270,5,United States,2 years ago
1271,3,"Charlotte, NC",2 years ago
1272,5,Union City,2 years ago
1273,5,"Elkton, MD",2 years ago
1274,5,"Houston, TX",2 years ago
1275,5,Nashville,2 years ago
1276,5,"Ashburn, VA",2 years ago
1277,2,United States,2 years ago
1278,5,"Greenville, SC",2 years ago
1279,5,Austin,2 years ago
1280,5,United States,2 years ago
1281,3,"Charlotte, NC",2 years ago
1282,5,Union City,2 years ago
1283,5,"Elkton, MD",2 years ago
1284,5,"Houston, TX",2 years ago
1285,5,Nashville,2 years ago
1286,5,"Ashburn, VA",2 years ago
1287,2,United States,2 years ago
1288,5,"Greenville, SC",2 years ago
1289,5,Austin,2 years ago
1290,4,United States,2 years ago
1291,1,New York,2 years ago
1292,5,United States,2 years ago
1293,5,white Plains NY,2 years ago
1294,5,"N Little Rock, AR",2 years ago
1295,5,new york,2 years ago
1296,5,"Columbia, MO",2 years ago
1297,5,"Sn Bernrdno, CA",2 years ago
1298,5,Los Angeles,2 years ago
1299,5,"Wynne, AR",2 years ago
1300,3,"Buffalo , NY",2 years ago
1301,5,"Valley, AL",2 years ago
1302,5,"Claymont, DE",2 years ago
1303,5,"Dublin, OH",2 years ago
1304,5,Pittsburgh,2 years ago
1305,5,"Russellville, AR",2 years ago
1306,3,"athens, GA",2 years ago
1307,3,Parkland,2 years ago
1308,5,"Lenexa, KS",3 years ago
1309,5,"Summersville , WV",3 years ago
1310,3,"Buffalo , NY",2 years ago
1311,5,"Valley, AL",2 years ago
1312,5,"Claymont, DE",2 years ago
1313,5,"Dublin, OH",2 years ago
1314,5,Pittsburgh,2 years ago
1315,5,"Russellville, AR",2 years ago
1316,3,"athens, GA",2 years ago
1317,3,Parkland,2 years ago
1318,5,"Lenexa, KS",3 years ago
1319,5,"Summersville , WV",3 years ago
1320,4,Little Falls,3 years ago
1321,5,"Georgetown , TX",3 years ago
1322,5,Napanee Ontario,3 years ago
1323,5,Minneapolis,3 years ago
1324,5,"Yucaipa, Ca",3 years ago
1325,5,United States,3 years ago
1326,5,"Collinsville, IL",3 years ago
1327,5,"Cincinnati, OH",3 years ago
1328,4,"Cologne, Germany",3 years ago
1329,5,Canada,3 years ago
1330,4,Little Falls,3 years ago
1331,5,"Georgetown , TX",3 years ago
1332,5,Napanee Ontario,3 years ago
1333,5,Minneapolis,3 years ago
1334,5,"Yucaipa, Ca",3 years ago
1335,5,United States,3 years ago
1336,5,"Collinsville, IL",3 years ago
1337,5,"Cincinnati, OH",3 years ago
1338,4,"Cologne, Germany",3 years ago
1339,5,Canada,3 years ago
1340,2,"Glenolden, PA",3 years ago
1341,5,Atlanta,3 years ago
1342,3,New York,3 years ago
1343,5,"Jamestown, NY",3 years ago
1344,5,"Jamestown, NY",3 years ago
1345,3,"Huntersville, NC",3 years ago
1346,5,New York,3 years ago
1347,5,United States,3 years ago
1348,5,"Brampton, ON",3 years ago
1349,5,"Wyandotte, MI",3 years ago
1350,5,United States,3 years ago
1351,4,New York,3 years ago
1352,5,"Worcester , MA",3 years ago
1353,5,United States,3 years ago
1354,5,"Louisville , KY",3 years ago
